rank,username,attempts,pct_of_total
212,EARLYWATCH,12,0.0011
213,FATEH,12,0.0011
214,FTP,12,0.0011
215,IDEADM,12,0.0011
216,MANTAS,12,0.0011
217,MICO,12,0.0011
218,MIHAEL,12,0.0011
219,NEGOZIO5,12,0.0011
220,PI,12,0.0011
221,RICO,12,0.0011
222,SADRAQUE,12,0.0011
223,SERVICE,12,0.0011
224,ANA,11,0.0010
225,DRD,11,0.0010
226,FAX,11,0.0010
227,HR,11,0.0010
228,LOCALADMIN,11,0.0010
229,NEWUSER,11,0.0010
230,NICK,11,0.0010
231,ORACLE,11,0.0010
232,PLS,11,0.0010
233,RDP,11,0.0010
234,SIDE,11,0.0010
235,Test,11,0.0010
236,YY,11,0.0010
237,Z,11,0.0010
238,ADMINS,10,0.0009
239,ANHBA,10,0.0009
240,HSTORERDP,10,0.0009
241,INVIT,10,0.0009
242,MICHELE,10,0.0009
243,MOHAMED,10,0.0009
244,OPENPGSVC,10,0.0009
245,SHIPPING,10,0.0009
246,SQLADMIN,10,0.0009
247,SYSADMIN,10,0.0009
248,SYSTEM16,10,0.0009
249,systeme,10,0.0009
250,TERMINAL,10,0.0009
251,VIDEO,10,0.0009
252,WDAGUTILITYACCOUNTS,10,0.0009
253,WINDOWS32,10,0.0009
254,WDAGUTILITYACCOUNT,9,0.0008
255,ALMOXARIFADO,8,0.0007
256,ANSIBLE,8,0.0007
257,AZUREUSER,8,0.0007
258,CAMPAIGNS,8,0.0007
259,COMPRAS,8,0.0007
260,CONVIDADO,8,0.0007
261,EC2-USER,8,0.0007
262,GOŚĆ,8,0.0007
263,INVITADO,8,0.0007
264,INVITÉ,8,0.0007
265,J2EE_ADMIN,8,0.0007
266,KRBRTGT,8,0.0007
267,MAX,8,0.0007
268,MYSQL,8,0.0007
269,POS,8,0.0007
270,PUPPET,8,0.0007
271,SAP*,8,0.0007
272,SAPCPIC,8,0.0007
273,SAPJSF,8,0.0007
274,SAPR3,8,0.0007
275,SAPSUPPORT,8,0.0007
276,SMD_ADMIN,8,0.0007
277,SMD_AGT,8,0.0007
278,SMD_BI_RFC,8,0.0007
279,SMD_RFC,8,0.0007
280,SOLMAN_ADMIN,8,0.0007
281,SOLMAN_BTC,8,0.0007
282,TMSADM,8,0.0007
283,VENDÉG,8,0.0007
284,WIN,8,0.0007
285,XMI_DEMO,8,0.0007
286,ГОСТЬ,8,0.0007
287,23,7,0.0006
288,3,7,0.0006
289,3XADMIN,7,0.0006
290,6,7,0.0006
291,7,7,0.0006
292,\BG강??GUEST,7,0.0006
293,ACC2,7,0.0006
294,ACCOUNTANT,7,0.0006
295,ACCOUNTS,7,0.0006
296,ADMIN123,7,0.0006
297,ADMIN24,7,0.0006
298,ADMIN801,7,0.0006
299,ADMINISRATOR,7,0.0006
300,ADMINISTRATAR,7,0.0006
301,ADMINN,7,0.0006
302,ADMINSTRATOR,7,0.0006
303,ADMINSYS,7,0.0006
304,ADMINX,7,0.0006
305,ADMINXY,7,0.0006
306,AFUI1!,7,0.0006
307,ALINE,7,0.0006
308,ALPHAERP,7,0.0006
309,ALTATECH,7,0.0006
310,ASAS,7,0.0006
311,ATELIER,7,0.0006
312,ATENDIMENTO,7,0.0006
313,AURES,7,0.0006
314,AUTODESKVAULT,7,0.0006
315,BACKUPSVC,7,0.0006
316,BKANUNA,7,0.0006
317,BOTWTV,7,0.0006
318,BRANDON,7,0.0006
319,BVRADMIN,7,0.0006
320,CAJA,7,0.0006
321,CBADMIN,7,0.0006
322,CHPFTP,7,0.0006
323,CLIENT,7,0.0006
324,COMPITS,7,0.0006
325,COMPRAS1,7,0.0006
326,COMPTOIR2,7,0.0006
327,CYG_SERVER,7,0.0006
328,DEFAULTUSER,7,0.0006
329,DEVLINESERVICEUSER,7,0.0006
330,E.AKULICH,7,0.0006
331,E.DYAGTEREVA,7,0.0006
332,E.ISMAILOVA,7,0.0006
333,EXSYS,7,0.0006
334,FABIO,7,0.0006
335,FASTWIND,7,0.0006
336,FD-SERVER,7,0.0006
337,FFTTP,7,0.0006
338,FILIPE,7,0.0006
339,FTP$,7,0.0006
340,FUELDISP,7,0.0006
341,HP03,7,0.0006
342,IESYS,7,0.0006
343,IEUSER,7,0.0006
344,IFXADMIN,7,0.0006
345,ILS_ANONYMOUS_USER,7,0.0006
346,INTRANET,7,0.0006
347,ITADM,7,0.0006
348,JOHN,7,0.0006
349,JUNIOR,7,0.0006
350,K8H3D,7,0.0006
351,KZQO,7,0.0006
352,L.MONAHOVA,7,0.0006
353,LABORATORIO,7,0.0006
354,LB,7,0.0006
355,LEE,7,0.0006
356,LIMITED,7,0.0006
357,LINHAVERDE,7,0.0006
358,LOOMIS,7,0.0006
359,MA,7,0.0006
360,MAC,7,0.0006
361,MAP,7,0.0006
362,MARCOS,7,0.0006
363,MARKETADMIN,7,0.0006
364,MC,7,0.0006
365,MEDICOS,7,0.0006
366,MEKNES_HB,7,0.0006
367,MS,7,0.0006
368,MSSQLSERVER,7,0.0006
369,NETWORK.SERVER,7,0.0006
370,NEW,7,0.0006
371,O.MAZUR,7,0.0006
372,O.SHURINA,7,0.0006
373,OSBIT,7,0.0006
374,OSSUSER,7,0.0006
375,PC2,7,0.0006
376,PRINTER,7,0.0006
377,PRODUCTION,7,0.0006
378,PS,7,0.0006
379,Q34005,7,0.0006
380,QA,7,0.0006
381,QBPOSDBSRVUSER,7,0.0006
382,R365,7,0.0006
383,RAY,7,0.0006
384,RD,7,0.0006
385,RE,7,0.0006
386,REMOTE1,7,0.0006
387,REMOTE2,7,0.0006
388,REMOTE5,7,0.0006
389,REMOTELIKAR1,7,0.0006
390,ROBERT,7,0.0006
391,SA,7,0.0006
392,SAM,7,0.0006
393,SC,7,0.0006
394,SD,7,0.0006
395,SGSMARTMAIL,7,0.0006
396,SIDEXIS4SERVICE,7,0.0006
397,SIM,7,0.0006
398,ST,7,0.0006
399,STAGIAIRE,7,0.0006
400,SUPPORT1,7,0.0006
401,SUPPORTESE,7,0.0006
402,TEST1,7,0.0006
403,TESTADMIN,7,0.0006
404,TESTUSER2,7,0.0006
405,TOM,7,0.0006
406,TONY,7,0.0006
407,TOSHIBA,7,0.0006
408,TV,7,0.0006
409,UPS,7,0.0006
410,USER01,7,0.0006
411,USER4,7,0.0006
412,USER5,7,0.0006
413,USERADM,7,0.0006
414,UTENTE,7,0.0006
415,VBRRDP,7,0.0006
416,VC,7,0.0006
417,VENTAS1,7,0.0006
418,VP,7,0.0006
419,VPN,7,0.0006
420,VPTIA,7,0.0006
421,VULN,7,0.0006
422,VW,7,0.0006
423,WB,7,0.0006
424,WCFUSER,7,0.0006
425,WINSUPPORT,7,0.0006
426,WM,7,0.0006
427,WPSADMIN,7,0.0006
428,WS,7,0.0006
429,WTS,7,0.0006
430,XAFSERVICEACCNT,7,0.0006
431,XCALIBUR_SYSTEM,7,0.0006
432,XLSOFTDBA,7,0.0006
433,Y.TATAROV,7,0.0006
434,ZEISS,7,0.0006
435,ZM,7,0.0006
436,АДМИН,7,0.0006
437,ANDRES,6,0.0005
438,LX,6,0.0005
439,ABC,5,0.0005
440,HOUMTIS14@!,5,0.0005
441,KYE,5,0.0005
442,QAZ,5,0.0005
443,UDO,5,0.0005
444,USA,5,0.0005
445,X,5,0.0005
446,AA,4,0.0004
447,AAA,4,0.0004
448,AAB,4,0.0004
449,AAC,4,0.0004
450,AAD,4,0.0004
451,AAE,4,0.0004
452,AAF,4,0.0004
453,AAG,4,0.0004
454,AAH,4,0.0004
455,AAI,4,0.0004
456,AAJ,4,0.0004
457,AAK,4,0.0004
458,AAL,4,0.0004
459,AAM,4,0.0004
460,AAN,4,0.0004
461,AAO,4,0.0004
462,AAP,4,0.0004
463,AAQ,4,0.0004
464,AAR,4,0.0004
465,AAS,4,0.0004
466,AAT,4,0.0004
467,AAU,4,0.0004
468,AAV,4,0.0004
469,AAW,4,0.0004
470,AAX,4,0.0004
471,AAY,4,0.0004
472,AAZ,4,0.0004
473,AB,4,0.0004
474,ABA,4,0.0004
475,ABB,4,0.0004
476,ABD,4,0.0004
477,ABE,4,0.0004
478,ABF,4,0.0004
479,ABG,4,0.0004
480,ABH,4,0.0004
481,ABI,4,0.0004
482,ABJ,4,0.0004
483,ABK,4,0.0004
484,ABL,4,0.0004
485,ABM,4,0.0004
486,ABN,4,0.0004
487,ABO,4,0.0004
488,ABP,4,0.0004
489,ABQ,4,0.0004
490,ABR,4,0.0004
491,ABS,4,0.0004
492,ABT,4,0.0004
493,ABU,4,0.0004
494,ABV,4,0.0004
495,ABW,4,0.0004
496,ABX,4,0.0004
497,ABY,4,0.0004
498,ABZ,4,0.0004
499,AC,4,0.0004
500,ACA,4,0.0004
501,ACB,4,0.0004
502,ACC,4,0.0004
503,ACD,4,0.0004
504,ACE,4,0.0004
505,ACF,4,0.0004
506,ACG,4,0.0004
507,ACH,4,0.0004
508,ACI,4,0.0004
509,ACJ,4,0.0004
510,ACK,4,0.0004
511,ACL,4,0.0004
512,ACM,4,0.0004
513,ACN,4,0.0004
514,ACO,4,0.0004
515,ACP,4,0.0004
516,ACQ,4,0.0004
517,ACR,4,0.0004
518,ACS,4,0.0004
519,ACT,4,0.0004
520,ACU,4,0.0004
521,ACV,4,0.0004
522,ACW,4,0.0004
523,ACX,4,0.0004
524,ACY,4,0.0004
525,ACZ,4,0.0004
526,AD,4,0.0004
527,ADA,4,0.0004
528,ADB,4,0.0004
529,ADC,4,0.0004
530,ADD,4,0.0004
531,ADE,4,0.0004
532,ADF,4,0.0004
533,ADG,4,0.0004
534,ADH,4,0.0004
535,ADI,4,0.0004
536,ADJ,4,0.0004
537,ADK,4,0.0004
538,ADL,4,0.0004
539,ADN,4,0.0004
540,ADO,4,0.0004
541,ADP,4,0.0004
542,ADQ,4,0.0004
543,ADR,4,0.0004
544,ADS,4,0.0004
545,ADT,4,0.0004
546,ADU,4,0.0004
547,ADV,4,0.0004
548,ADW,4,0.0004
549,ADX,4,0.0004
550,ADY,4,0.0004
551,ADZ,4,0.0004
552,AE,4,0.0004
553,AEA,4,0.0004
554,AEB,4,0.0004
555,AEC,4,0.0004
556,AED,4,0.0004
557,AEE,4,0.0004
558,AEF,4,0.0004
559,AEG,4,0.0004
560,AEH,4,0.0004
561,AEI,4,0.0004
562,AEJ,4,0.0004
563,AEK,4,0.0004
564,AEL,4,0.0004
565,AEM,4,0.0004
566,AEN,4,0.0004
567,AEO,4,0.0004
568,AEP,4,0.0004
569,AEQ,4,0.0004
570,AER,4,0.0004
571,AES,4,0.0004
572,AET,4,0.0004
573,AEU,4,0.0004
574,AEV,4,0.0004
575,AEW,4,0.0004
576,AEX,4,0.0004
577,AEY,4,0.0004
578,AEZ,4,0.0004
579,AF,4,0.0004
580,AFA,4,0.0004
581,AFB,4,0.0004
582,AFC,4,0.0004
583,AFD,4,0.0004
584,AFE,4,0.0004
585,AFF,4,0.0004
586,AFG,4,0.0004
587,AFH,4,0.0004
588,AFI,4,0.0004
589,AFJ,4,0.0004
590,AFK,4,0.0004
591,AFL,4,0.0004
592,AFM,4,0.0004
593,AFN,4,0.0004
594,AFO,4,0.0004
595,AFP,4,0.0004
596,AFQ,4,0.0004
597,AFR,4,0.0004
598,AFS,4,0.0004
599,AFT,4,0.0004
600,AFU,4,0.0004
601,AFV,4,0.0004
602,AFW,4,0.0004
603,AFX,4,0.0004
604,AFY,4,0.0004
605,AFZ,4,0.0004
606,AG,4,0.0004
607,AGA,4,0.0004
608,AGB,4,0.0004
609,AGC,4,0.0004
610,AGD,4,0.0004
611,AGE,4,0.0004
612,AGF,4,0.0004
613,AGG,4,0.0004
614,AGH,4,0.0004
615,AGI,4,0.0004
616,AGJ,4,0.0004
617,AGK,4,0.0004
618,AGL,4,0.0004
619,AGM,4,0.0004
620,AGN,4,0.0004
621,AGO,4,0.0004
622,AGP,4,0.0004
623,AGQ,4,0.0004
624,AGR,4,0.0004
625,AGS,4,0.0004
626,AGT,4,0.0004
627,AGU,4,0.0004
628,AGV,4,0.0004
629,AGW,4,0.0004
630,AGX,4,0.0004
631,AGY,4,0.0004
632,AGZ,4,0.0004
633,AH,4,0.0004
634,AHA,4,0.0004
635,AHB,4,0.0004
636,AHC,4,0.0004
637,AHD,4,0.0004
638,AHE,4,0.0004
639,AHF,4,0.0004
640,AHG,4,0.0004
641,AHH,4,0.0004
642,AHI,4,0.0004
643,AHJ,4,0.0004
644,AHK,4,0.0004
645,AHL,4,0.0004
646,AHM,4,0.0004
647,AHN,4,0.0004
648,AHO,4,0.0004
649,AHP,4,0.0004
650,AHQ,4,0.0004
651,AHR,4,0.0004
652,AHS,4,0.0004
653,AHT,4,0.0004
654,AHU,4,0.0004
655,AHV,4,0.0004
656,AHW,4,0.0004
657,AHX,4,0.0004
658,AHY,4,0.0004
659,AHZ,4,0.0004
660,AI,4,0.0004
661,AIA,4,0.0004
662,AIB,4,0.0004
663,AIC,4,0.0004
664,AID,4,0.0004
665,AIE,4,0.0004
666,AIF,4,0.0004
667,AIG,4,0.0004
668,AIH,4,0.0004
669,AII,4,0.0004
670,AIJ,4,0.0004
671,AIK,4,0.0004
672,AIL,4,0.0004
673,AIM,4,0.0004
674,AIN,4,0.0004
675,AIO,4,0.0004
676,AIP,4,0.0004
677,AIQ,4,0.0004
678,AIR,4,0.0004
679,AIS,4,0.0004
680,AIT,4,0.0004
681,AIU,4,0.0004
682,AIV,4,0.0004
683,AIW,4,0.0004
684,AIX,4,0.0004
685,AIY,4,0.0004
686,AIZ,4,0.0004
687,AJ,4,0.0004
688,AJA,4,0.0004
689,AJB,4,0.0004
690,AJC,4,0.0004
691,AJD,4,0.0004
692,AJE,4,0.0004
