rank,username,attempts,pct_of_total
209,SQLADMIN,10,0.0009
210,SYSADMIN,10,0.0009
211,SYSTEM16,10,0.0009
212,systeme,10,0.0009
213,TERMINAL,10,0.0009
214,VIDEO,10,0.0009
215,WDAGUTILITYACCOUNTS,10,0.0009
216,WINDOWS32,10,0.0009
217,WDAGUTILITYACCOUNT,9,0.0008
218,ALMOXARIFADO,8,0.0007
219,ANSIBLE,8,0.0007
220,AZUREUSER,8,0.0007
221,CAMPAIGNS,8,0.0007
222,COMPRAS,8,0.0007
223,CONVIDADO,8,0.0007
224,EC2-USER,8,0.0007
225,GOŚĆ,8,0.0007
226,INVITADO,8,0.0007
227,INVITÉ,8,0.0007
228,J2EE_ADMIN,8,0.0007
229,KRBRTGT,8,0.0007
230,MYSQL,8,0.0007
231,PUPPET,8,0.0007
232,SAP*,8,0.0007
233,SAPCPIC,8,0.0007
234,SAPJSF,8,0.0007
235,SAPR3,8,0.0007
236,SAPSUPPORT,8,0.0007
237,SMD_ADMIN,8,0.0007
238,SMD_AGT,8,0.0007
239,SMD_BI_RFC,8,0.0007
240,SMD_RFC,8,0.0007
241,SOLMAN_ADMIN,8,0.0007
242,SOLMAN_BTC,8,0.0007
243,TMSADM,8,0.0007
244,VENDÉG,8,0.0007
245,XMI_DEMO,8,0.0007
246,ГОСТЬ,8,0.0007
247,23,7,0.0006
248,3,7,0.0006
249,3XADMIN,7,0.0006
250,6,7,0.0006
251,7,7,0.0006
252,\BG강??GUEST,7,0.0006
253,ACC2,7,0.0006
254,ACCOUNTANT,7,0.0006
255,ACCOUNTS,7,0.0006
256,ADMIN123,7,0.0006
257,ADMIN24,7,0.0006
258,ADMIN801,7,0.0006
259,ADMINISRATOR,7,0.0006
260,ADMINISTRATAR,7,0.0006
261,ADMINN,7,0.0006
262,ADMINSTRATOR,7,0.0006
263,ADMINSYS,7,0.0006
264,ADMINX,7,0.0006
265,ADMINXY,7,0.0006
266,AFUI1!,7,0.0006
267,ALINE,7,0.0006
268,ALPHAERP,7,0.0006
269,ALTATECH,7,0.0006
270,ASAS,7,0.0006
271,ATELIER,7,0.0006
272,ATENDIMENTO,7,0.0006
273,AURES,7,0.0006
274,AUTODESKVAULT,7,0.0006
275,BACKUPSVC,7,0.0006
276,BKANUNA,7,0.0006
277,BOTWTV,7,0.0006
278,BRANDON,7,0.0006
279,BVRADMIN,7,0.0006
280,CAJA,7,0.0006
281,CBADMIN,7,0.0006
282,CHPFTP,7,0.0006
283,CLIENT,7,0.0006
284,COMPITS,7,0.0006
285,COMPRAS1,7,0.0006
286,COMPTOIR2,7,0.0006
287,CYG_SERVER,7,0.0006
288,DEFAULTUSER,7,0.0006
289,DEVLINESERVICEUSER,7,0.0006
290,E.AKULICH,7,0.0006
291,E.DYAGTEREVA,7,0.0006
292,E.ISMAILOVA,7,0.0006
293,EXSYS,7,0.0006
294,FABIO,7,0.0006
295,FASTWIND,7,0.0006
296,FD-SERVER,7,0.0006
297,FFTTP,7,0.0006
298,FILIPE,7,0.0006
299,FTP$,7,0.0006
300,FUELDISP,7,0.0006
301,HP03,7,0.0006
302,IESYS,7,0.0006
303,IEUSER,7,0.0006
304,IFXADMIN,7,0.0006
305,ILS_ANONYMOUS_USER,7,0.0006
306,INTRANET,7,0.0006
307,ITADM,7,0.0006
308,JOHN,7,0.0006
309,JUNIOR,7,0.0006
310,K8H3D,7,0.0006
311,KZQO,7,0.0006
312,L.MONAHOVA,7,0.0006
313,LABORATORIO,7,0.0006
314,LB,7,0.0006
315,LIMITED,7,0.0006
316,LINHAVERDE,7,0.0006
317,LOOMIS,7,0.0006
318,MA,7,0.0006
319,MARCOS,7,0.0006
320,MARKETADMIN,7,0.0006
321,MC,7,0.0006
322,MEDICOS,7,0.0006
323,MEKNES_HB,7,0.0006
324,MS,7,0.0006
325,MSSQLSERVER,7,0.0006
326,NETWORK.SERVER,7,0.0006
327,O.MAZUR,7,0.0006
328,O.SHURINA,7,0.0006
329,OSBIT,7,0.0006
330,OSSUSER,7,0.0006
331,PC2,7,0.0006
332,PRINTER,7,0.0006
333,PRODUCTION,7,0.0006
334,PS,7,0.0006
335,Q34005,7,0.0006
336,QA,7,0.0006
337,QBPOSDBSRVUSER,7,0.0006
338,R365,7,0.0006
339,RD,7,0.0006
340,RE,7,0.0006
341,REMOTE1,7,0.0006
342,REMOTE2,7,0.0006
343,REMOTE5,7,0.0006
344,REMOTELIKAR1,7,0.0006
345,ROBERT,7,0.0006
346,SA,7,0.0006
347,SC,7,0.0006
348,SD,7,0.0006
349,SGSMARTMAIL,7,0.0006
350,SIDEXIS4SERVICE,7,0.0006
351,ST,7,0.0006
352,STAGIAIRE,7,0.0006
353,SUPPORT1,7,0.0006
354,SUPPORTESE,7,0.0006
355,TEST1,7,0.0006
356,TESTADMIN,7,0.0006
357,TESTUSER2,7,0.0006
358,TONY,7,0.0006
359,TOSHIBA,7,0.0006
360,TV,7,0.0006
361,USER01,7,0.0006
362,USER4,7,0.0006
363,USER5,7,0.0006
364,USERADM,7,0.0006
365,UTENTE,7,0.0006
366,VBRRDP,7,0.0006
367,VC,7,0.0006
368,VENTAS1,7,0.0006
369,VP,7,0.0006
370,VPTIA,7,0.0006
371,VULN,7,0.0006
372,VW,7,0.0006
373,WB,7,0.0006
374,WCFUSER,7,0.0006
375,WINSUPPORT,7,0.0006
376,WM,7,0.0006
377,WPSADMIN,7,0.0006
378,WS,7,0.0006
379,XAFSERVICEACCNT,7,0.0006
380,XCALIBUR_SYSTEM,7,0.0006
381,XLSOFTDBA,7,0.0006
382,Y.TATAROV,7,0.0006
383,ZEISS,7,0.0006
384,ZM,7,0.0006
385,АДМИН,7,0.0006
386,ANDRES,6,0.0005
387,LX,6,0.0005
388,HOUMTIS14@!,5,0.0005
389,X,5,0.0005
390,AA,4,0.0004
391,AB,4,0.0004
392,AC,4,0.0004
393,AD,4,0.0004
394,AE,4,0.0004
395,AF,4,0.0004
396,AG,4,0.0004
397,AH,4,0.0004
398,AI,4,0.0004
399,AJ,4,0.0004
400,AK,4,0.0004
401,AL,4,0.0004
402,AM,4,0.0004
403,AN,4,0.0004
404,AO,4,0.0004
405,AP,4,0.0004
406,AQ,4,0.0004
407,AR,4,0.0004
408,AS,4,0.0004
409,AT,4,0.0004
410,AU,4,0.0004
411,AV,4,0.0004
412,AW,4,0.0004
413,AX,4,0.0004
414,AY,4,0.0004
415,AZ,4,0.0004
416,B,4,0.0004
417,BA,4,0.0004
418,BB,4,0.0004
419,BC,4,0.0004
420,BD,4,0.0004
421,BE,4,0.0004
422,BF,4,0.0004
423,BG,4,0.0004
424,BH,4,0.0004
425,BI,4,0.0004
426,BJ,4,0.0004
427,BK,4,0.0004
428,BL,4,0.0004
429,BM,4,0.0004
430,BN,4,0.0004
431,BO,4,0.0004
432,BP,4,0.0004
433,BQ,4,0.0004
434,BR,4,0.0004
435,BS,4,0.0004
436,BT,4,0.0004
437,BU,4,0.0004
438,BV,4,0.0004
439,BW,4,0.0004
440,BX,4,0.0004
441,BY,4,0.0004
442,BZ,4,0.0004
443,C,4,0.0004
444,CA,4,0.0004
445,CB,4,0.0004
446,CC,4,0.0004
447,CD,4,0.0004
448,CE,4,0.0004
449,CF,4,0.0004
450,CG,4,0.0004
451,CH,4,0.0004
452,CI,4,0.0004
453,CJ,4,0.0004
454,CK,4,0.0004
455,CL,4,0.0004
456,CM,4,0.0004
457,CN,4,0.0004
458,CO,4,0.0004
459,CP,4,0.0004
460,CQ,4,0.0004
461,CR,4,0.0004
462,CS,4,0.0004
463,CT,4,0.0004
464,CU,4,0.0004
465,CV,4,0.0004
466,CW,4,0.0004
467,CX,4,0.0004
468,CY,4,0.0004
469,CZ,4,0.0004
470,DA,4,0.0004
471,DB,4,0.0004
472,DC,4,0.0004
473,DD,4,0.0004
474,DF,4,0.0004
475,DG,4,0.0004
476,DH,4,0.0004
477,DI,4,0.0004
478,DJ,4,0.0004
479,DK,4,0.0004
480,DL,4,0.0004
481,DM,4,0.0004
482,DN,4,0.0004
483,DO,4,0.0004
484,DP,4,0.0004
485,DQ,4,0.0004
486,DR,4,0.0004
487,DS,4,0.0004
488,DU,4,0.0004
489,DV,4,0.0004
490,DW,4,0.0004
491,DX,4,0.0004
492,DY,4,0.0004
493,DZ,4,0.0004
494,E,4,0.0004
495,EA,4,0.0004
496,EB,4,0.0004
497,EC,4,0.0004
498,ED,4,0.0004
499,EE,4,0.0004
500,EF,4,0.0004
501,EG,4,0.0004
502,EH,4,0.0004
503,EI,4,0.0004
504,EJ,4,0.0004
505,EK,4,0.0004
506,EL,4,0.0004
507,EM,4,0.0004
508,EN,4,0.0004
509,EO,4,0.0004
510,EP,4,0.0004
511,EQ,4,0.0004
512,ER,4,0.0004
513,ES,4,0.0004
514,ET,4,0.0004
515,EU,4,0.0004
516,EV,4,0.0004
517,EW,4,0.0004
518,EX,4,0.0004
519,EY,4,0.0004
520,EZ,4,0.0004
521,F,4,0.0004
522,FA,4,0.0004
523,FB,4,0.0004
524,FC,4,0.0004
525,FD,4,0.0004
526,FE,4,0.0004
527,FF,4,0.0004
528,FG,4,0.0004
529,FH,4,0.0004
530,FI,4,0.0004
531,FJ,4,0.0004
532,FK,4,0.0004
533,FL,4,0.0004
534,FM,4,0.0004
